,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year
603,28,3,1.00,84.4,0,19,2016
604,28,3,1.00,76.9,0,20,2016
605,28,3,1.00,76.4,0,21,2016
606,28,3,1.00,65.4,0,22,2016
607,28,3,1.00,61.3,0,23,2016
608,29,3,1.00,60.6,0,0,2016
609,29,3,1.00,52.5,0,1,2016
610,29,3,1.00,50.4,0,2,2016
611,29,3,1.00,45.1,0,3,2016
612,29,3,1.00,39.4,0,4,2016
613,29,3,1.00,37.5,0,5,2016
614,29,3,1.00,43.7,0,6,2016
615,29,3,1.00,46.5,0,7,2016
616,29,3,1.00,57.4,0,8,2016
617,29,3,1.00,59.3,0,9,2016
618,29,3,1.00,57.8,0,10,2016
619,29,3,1.00,59.2,0,11,2016
620,29,3,1.00,65.4,0,12,2016
621,29,3,1.00,67.7,0,13,2016
622,29,3,1.00,71.4,0,14,2016
623,29,3,1.00,71.3,0,15,2016
624,29,3,1.00,70.9,0,16,2016
625,29,3,1.00,68.8,0,17,2016
626,29,3,1.00,80.2,0,18,2016
627,29,3,1.00,83.3,0,19,2016
628,29,3,1.00,83.4,0,20,2016
629,29,3,1.00,76.8,0,21,2016
630,29,3,1.00,76.2,0,22,2016
631,29,3,1.00,78.3,0,23,2016
632,30,3,1.00,72.1,0,0,2016
633,30,3,1.00,76.2,0,1,2016
634,30,3,1.00,76.1,0,2,2016
635,30,3,1.00,63.5,0,3,2016
636,30,3,1.00,49.9,0,4,2016
637,30,3,1.00,47.1,0,5,2016
638,30,3,1.00,55.6,0,6,2016
639,30,3,1.00,62.3,0,7,2016
640,30,3,1.00,66.1,0,8,2016
641,30,3,1.00,71.5,0,9,2016
642,30,3,1.00,72.0,0,10,2016
643,30,3,1.00,70.2,0,11,2016
644,30,3,1.00,66.6,0,12,2016
645,30,3,1.00,70.3,0,13,2016
646,30,3,1.00,74.3,0,14,2016
647,30,3,1.00,82.6,0,15,2016
648,30,3,1.00,85.0,0,16,2016
649,30,3,1.00,90.9,0,17,2016
650,30,3,1.00,122.6,0,18,2016
651,30,3,1.00,131.9,0,19,2016
652,30,3,1.00,123.6,0,20,2016
653,30,3,1.00,128.1,0,21,2016
654,30,3,1.00,133.1,0,22,2016
655,30,3,1.00,118.0,0,23,2016
