Date,Day,Month,PM10_mask,PM2.5,Retrospective,UTC Hour,Year,latitude,longitude
2016-03-16,16,3,1.00,46.8,0,16,2016,18.7904,98.9847
2016-03-16,16,3,1.00,46.2,0,17,2016,18.7904,98.9847
2016-03-16,16,3,1.00,67.2,0,18,2016,18.7904,98.9847
2016-03-16,16,3,1.00,61.9,0,19,2016,18.7904,98.9847
2016-03-16,16,3,1.00,65.7,0,20,2016,18.7904,98.9847
2016-03-16,16,3,1.00,66.4,0,21,2016,18.7904,98.9847
2016-03-16,16,3,1.00,61.9,0,22,2016,18.7904,98.9847
2016-03-16,16,3,1.00,51.9,0,23,2016,18.7904,98.9847
2016-03-17,17,3,1.00,48.7,0,0,2016,18.7904,98.9847
2016-03-17,17,3,1.00,43.2,0,1,2016,18.7904,98.9847
2016-03-17,17,3,1.00,39.4,0,2,2016,18.7904,98.9847
2016-03-17,17,3,1.00,38.0,0,3,2016,18.7904,98.9847
2016-03-17,17,3,1.00,31.5,0,4,2016,18.7904,98.9847
2016-03-17,17,3,1.00,34.1,0,5,2016,18.7904,98.9847
2016-03-17,17,3,1.00,40.3,0,6,2016,18.7904,98.9847
2016-03-17,17,3,1.00,42.7,0,7,2016,18.7904,98.9847
2016-03-17,17,3,1.00,34.7,0,8,2016,18.7904,98.9847
2016-03-17,17,3,1.00,42.8,0,9,2016,18.7904,98.9847
2016-03-17,17,3,1.00,51.1,0,10,2016,18.7904,98.9847
2016-03-17,17,3,1.00,54.5,0,11,2016,18.7904,98.9847
2016-03-17,17,3,1.00,58.7,0,12,2016,18.7904,98.9847
2016-03-17,17,3,1.00,52.8,0,13,2016,18.7904,98.9847
2016-03-17,17,3,1.00,48.5,0,14,2016,18.7904,98.9847
2016-03-17,17,3,1.00,49.0,0,15,2016,18.7904,98.9847
2016-03-17,17,3,1.00,47.9,0,16,2016,18.7904,98.9847
2016-03-17,17,3,1.00,52.7,0,17,2016,18.7904,98.9847
2016-03-17,17,3,1.00,53.9,0,18,2016,18.7904,98.9847
2016-03-17,17,3,1.00,52.5,0,19,2016,18.7904,98.9847
2016-03-17,17,3,1.00,74.6,0,20,2016,18.7904,98.9847
2016-03-17,17,3,1.00,73.3,0,21,2016,18.7904,98.9847
2016-03-17,17,3,1.00,73.1,0,22,2016,18.7904,98.9847
2016-03-17,17,3,1.00,58.3,0,23,2016,18.7904,98.9847
2016-03-18,18,3,1.00,45.4,0,0,2016,18.7904,98.9847
2016-03-18,18,3,1.00,40.4,0,1,2016,18.7904,98.9847
2016-03-18,18,3,1.00,36.3,0,2,2016,18.7904,98.9847
2016-03-18,18,3,1.00,35.4,0,3,2016,18.7904,98.9847
2016-03-18,18,3,1.00,34.7,0,4,2016,18.7904,98.9847
2016-03-18,18,3,1.00,43.1,0,5,2016,18.7904,98.9847
2016-03-18,18,3,1.00,44.1,0,6,2016,18.7904,98.9847
2016-03-18,18,3,1.00,36.6,0,7,2016,18.7904,98.9847
2016-03-18,18,3,1.00,41.7,0,8,2016,18.7904,98.9847
2016-03-18,18,3,1.00,48.2,0,9,2016,18.7904,98.9847
2016-03-18,18,3,1.00,46.5,0,10,2016,18.7904,98.9847
2016-03-18,18,3,1.00,42.4,0,11,2016,18.7904,98.9847
2016-03-18,18,3,1.00,41.3,0,12,2016,18.7904,98.9847
2016-03-18,18,3,1.00,41.4,0,13,2016,18.7904,98.9847
2016-03-18,18,3,1.00,44.8,0,14,2016,18.7904,98.9847
2016-03-18,18,3,1.00,43.0,0,15,2016,18.7904,98.9847
2016-03-18,18,3,1.00,44.1,0,16,2016,18.7904,98.9847
2016-03-18,18,3,1.00,43.0,0,17,2016,18.7904,98.9847
2016-03-18,18,3,1.00,49.5,0,18,2016,18.7904,98.9847
2016-03-18,18,3,1.00,56.7,0,19,2016,18.7904,98.9847
2016-03-18,18,3,1.00,64.7,0,20,2016,18.7904,98.9847
2016-03-18,18,3,1.00,75.1,0,21,2016,18.7904,98.9847
2016-03-18,18,3,1.00,65.6,0,22,2016,18.7904,98.9847
2016-03-18,18,3,1.00,58.5,0,23,2016,18.7904,98.9847
2016-03-19,19,3,1.00,48.6,0,0,2016,18.7904,98.9847
2016-03-19,19,3,0.00,60.8,0,1,2016,18.7904,98.9847
2016-03-19,19,3,0.00,47.5,0,2,2016,18.7904,98.9847
2016-03-19,19,3,0.00,44.7,0,3,2016,18.7904,98.9847
2016-03-19,19,3,1.00,55.9,0,4,2016,18.7904,98.9847
2016-03-19,19,3,1.00,41.4,0,5,2016,18.7904,98.9847
2016-03-19,19,3,1.00,37.4,0,6,2016,18.7904,98.9847
2016-03-19,19,3,1.00,41.6,0,7,2016,18.7904,98.9847
2016-03-19,19,3,1.00,48.3,0,8,2016,18.7904,98.9847
2016-03-19,19,3,1.00,58.4,0,9,2016,18.7904,98.9847
2016-03-19,19,3,1.00,84.3,0,10,2016,18.7904,98.9847
